city,year,month,temperature,humidity,air_pressure,monthly_rainfall,latitude,longitude,oni_index,el_nino,la_nina
Silay City,2024,3,28.451612903225808,79.70967741935483,1012.2483870967742,18.3,10.8,122.966667,1.1,1,0
Silay City,2024,4,30.34,72.9,1009.8966666666668,31.599999999999998,10.8,122.966667,0.7,1,0
Silay City,2024,5,30.387096774193548,77.61290322580645,1009.0999999999999,93.2,10.8,122.966667,0.4,0,0
Silay City,2024,6,27.796666666666667,88.26666666666667,1009.9766666666667,305.9,10.8,122.966667,0.2,0,0
Silay City,2024,7,26.741935483870968,90.29032258064517,1009.1967741935483,463.5,10.8,122.966667,0.0,0,0
Silay City,2024,8,27.241935483870968,88.54838709677419,1009.8225806451613,282.6,10.8,122.966667,-0.1,0,0
Silay City,2024,9,27.236666666666668,87.86666666666666,1008.1666666666666,485.6,10.8,122.966667,-0.2,0,0
Silay City,2024,10,26.920689655172417,89.8,1008.7466666666667,351.90000000000003,10.8,122.966667,-0.3,0,0
Silay City,2024,11,27.64333333333333,86.2,1009.3233333333334,88.4,10.8,122.966667,-0.4,0,0
Silay City,2024,12,26.76451612903226,90.90322580645162,1008.9225806451612,203.5,10.8,122.966667,-0.5,0,0
Silay City,2025,1,26.616129032258065,90.3225806451613,1010.1354838709677,103.2,10.8,122.966667,-0.6,0,1
Silay City,2025,2,26.900000000000002,85.78571428571429,1011.4857142857143,92.2,10.8,122.966667,-0.4,0,0
Silay City,2025,3,27.243333333333332,88.58064516129032,1010.5903225806452,169.7,10.8,122.966667,-0.2,0,0
Sipalay,2020,1,27.048387096774192,87.41935483870968,1010.9483870967742,32.9,9.75194,122.404167,-0.5,0,0
Sipalay,2020,2,27.020689655172415,82.58620689655173,1012.4724137931034,53.2,9.75194,122.404167,-0.4,0,0
Sipalay,2020,3,28.22258064516129,81.06451612903226,1010.9741935483871,50.9,9.75194,122.404167,-0.1,0,0
Sipalay,2020,4,29.30666666666667,80.83333333333333,1010.6933333333333,59.9,9.75194,122.404167,0.2,0,0
Sipalay,2020,5,28.248387096774195,91.83870967741936,1009.8354838709678,220.20000000000002,9.75194,122.404167,0.1,0,0
Sipalay,2020,6,26.946666666666665,93.6,1009.8199999999999,353.6,9.75194,122.404167,-0.2,0,0
